"Data Source","World Bank","",""
"Last Updated Date","","",""
"","","",""
"","","",""
Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,6137.60045786761,5326.75285558236,3136.72428260526,2958.88037185647,3200.89649468569,3480.7559365251,3717.33576522762,3879.17938009678,4211.51276778797,4406.96706718618,4589.00825039977,5044.11647826468,5731.35346609213,6569.26023440631,7299.40001858866,8362.90084037119,9525.23146779778,10898.8483795634,11727.4821272949,10143.2350796867,10438.5641904169,10990.177099035,11796.2741177994,12194.0189523843,12667.3757330249,13112.7600902915,13192.9940731731,14243.8749003795,15037.0452420712,16215.3607965094,15052.9359791136,15921.705281964,17886.1783877168,19402.7510915578,20078.7848984844
Aruba,ABW,33063.0015877316,33993.2075313444,34371.1629150514,34540.335984878,35490.7214500469,35386.8602892056,34419.4315497134,35444.5787437592,35271.9070906287,35227.47657679,37524.0346018738,38729.4588237779,38098.9048329158,38086.0123762909,40000.5625183532,38828.2166342999,38566.8026759098,39462.5851547515,39881.5879733887,34986.1484622772,33951.6246182745,34837.9402869986,33972.3401082566,35621.7848546409,35746.8630679768,36660.6310808381,36832.9040242979,38116.8310992499,39278.8297271438,39652.6320700939,30347.6371851417,35104.7868035374,38979.8358245412,41964.7711908515,44558.9287594176
Australia,AUS,36267.7410592234,35670.6678637309,35426.2848289008,36533.1468283451,37622.6524772939,38653.3366778657,39663.1617728168,40773.5660516518,42257.1718122395,43899.073794405,45099.0752097084,45428.2000837579,46688.3947760633,47581.2285345879,49061.2761503925,49997.0664953941,50693.7248649798,51663.2403953881,52473.3819160773,52407.9115378584,52739.2681556133,53257.0473237603,54403.8836902433,54895.0052588984,55489.068844146,55879.9958817103,56529.951824687,56881.8569859104,57647.8455068105,58048.6188420831,57260.4650530108,58327.4146842325,60029.1329190733,60684.9596204883,60303.9817116245
Austria,AUT,43258.1751068055,44302.421470472,44734.8538849803,44601.2068091388,45497.1385930997,46639.5321839019,47608.6310978165,48575.1588721006,50216.6986894124,52004.5327523874,53534.3421055422,54032.1515612712,54565.0769851287,54919.7872512396,55980.2317146013,56890.2794433829,58460.2370782474,60470.9099906715,61157.9873105684,58810.4422020872,59730.5512005635,61272.2584397775,61376.7207131054,60863.0547666965,60845.6597729815,60951.6892510507,61572.7121353063,62535.8983176843,63778.0257051746,64609.374295614,60276.4153459141,62968.9422311892,65694.5513287254,64536.2981841434,63788.078678479
Azerbaijan,AZE,10776.0677018086,10559.2119361527,8050.21624195194,6097.48622316834,4830.69940287626,4211.72114349636,4223.5229711304,4425.5882352872,4822.1601856452,5133.74812032569,5656.92989378687,6168.98512059749,6701.08174444207,7329.40601818943,7937.8594791002,10054.1003389401,13371.6585214534,16587.3657240228,17963.0208126838,19242.3900077231,19925.3900662137,19358.0778100345,19523.3737161356,20398.6462250349,20709.201611232,20678.7539572375,19822.4105943941,19659.0048562768,19781.8509058437,20101.491875147,19126.096851126,20111.3756952109,21051.2442291612,21310.7386915022,22072.1491157176
"Bahamas, The",BHS,33072.1596125382,31148.9052622825,29412.8804985919,28955.3510589021,29346.3604837079,30128.1935557246,30907.8208035756,30839.0247952491,31836.5264901331,33657.804588874,34597.1621145274,35072.3658990461,35610.6786425646,34740.7635535381,34617.8051137459,35365.4663980219,35789.1322131898,35797.118972073,34498.0351399173,32630.263065979,32711.4592459383,32535.6625139135,33667.5547098911,32402.9163503108,32712.6356664811,32777.5849410742,32172.3365152976,33050.0350128611,33650.2164350935,33202.4902105068,26452.695760929,31064.6822166194,34342.9285316569,35221.2696932313,36244.0500123244
Bahrain,BHR,41856.54450772,47644.0234716882,49511.9474019627,54433.1375084971,52886.5789027329,53537.6828948177,54289.4380390309,54512.8551056888,55638.6935860684,56522.2261899823,57968.9956082135,57280.6986707494,55096.6571550779,54431.8763559658,54045.092888858,53478.2662415503,52691.9323366851,52731.7921672618,52765.3899455546,50665.7507489219,50704.8479679819,53132.3284162611,54516.8406594787,55376.4005147894,55065.8189472129,54149.9131524721,54107.0752236423,53859.7749589601,54893.0724411368,56749.9628370612,53814.2452592358,54954.6757895532,57572.997981018,57819.9051831242,58891.8304860737
Bangladesh,BGD,2069.78230100672,2101.38366035658,2174.38232866943,2234.8101219225,2279.09435302944,2351.70387946903,2413.54298201505,2475.59574602489,2555.06119218282,2624.06553797638,2712.93512215725,2803.55471950946,2866.43454328715,2958.91503115633,3071.83778764611,3231.61370692891,3407.4273502159,3608.91543819399,3787.9382761855,3942.13631207203,4125.46390163202,4352.42643359325,4592.04840919812,4822.72621378266,5068.63965672741,5352.71133299566,5682.53553494306,6005.70718781048,6392.59334024091,6838.32611608243,7015.19792797056,7441.06913961254,7888.16389098304,8242.39798977242,8486.78495660517
Barbados,BRB,19613.2480547673,18790.868541122,17660.3232739416,17748.5545234391,18064.4007339676,18398.7507400297,19112.5029984541,20010.2158345921,20752.8095915976,20815.8353874873,21779.2203006868,21234.708034436,21262.3089250843,21591.7915931807,21771.9014007178,22514.483943994,23766.6070131111,24145.753990727,24171.6517995745,22840.8841002763,22243.4579670705,22102.4817004397,21286.3318932135,20854.5676341718,20959.9650372142,20666.9651609374,20930.633669268,21035.7933581451,20727.4216338412,20737.9776890352,17728.0729247569,17682.7314537483,20716.2851304966,21318.6724772626,21837.7254102057
Belarus,BLR,12351.6357110065,12197.7877887634,11002.6017626136,10143.9840118445,8967.73072971831,8061.19604112609,8314.85656685025,9301.32717519867,10128.1560469563,10519.7489145442,11182.4548339393,11771.0872003861,12443.9322575939,13413.9265504854,15052.1182160947,16579.8731683834,18349.8719060634,20019.6111676728,22137.9472928315,22236.8387691136,24012.6133040213,25404.7566082412,25879.1319400701,26147.6253584645,26564.4347246547,25513.2132958317,24846.8301529359,25503.9809845207,26363.4629778536,26798.8206398076,26731.4953869922,27611.1801135157,26537.5083081674,27782.4380139967,29040.9725790425
